date,pre_close,open,high,low,close,changeinprice,changeinrate,diffrate
1991/12/24,285.650 ,285.740 ,286.220 ,285.650 ,286.220 ,0.570 ,0.200 ,0.032 
1991/12/25,286.220 ,287.090 ,287.150 ,286.220 ,287.150 ,0.930 ,0.325 ,0.304 
1991/12/26,287.150 ,288.030 ,288.030 ,287.150 ,288.030 ,0.880 ,0.307 ,0.306 
1991/12/27,288.030 ,290.650 ,290.850 ,288.030 ,290.850 ,2.820 ,0.979 ,0.910 
1991/12/30,290.850 ,291.710 ,291.710 ,290.850 ,291.710 ,0.860 ,0.296 ,0.296 
1991/12/31,291.710 ,292.480 ,292.750 ,291.710 ,292.750 ,1.040 ,0.357 ,0.264 
1992/1/2,292.750 ,293.740 ,293.750 ,292.760 ,293.750 ,1.000 ,0.342 ,0.338 
1992/1/3,293.750 ,296.240 ,296.520 ,293.750 ,296.520 ,2.770 ,0.943 ,0.848 
1992/1/6,296.520 ,297.680 ,297.680 ,296.520 ,297.680 ,1.160 ,0.391 ,0.391 
1992/1/7,297.680 ,298.540 ,298.770 ,297.680 ,298.770 ,1.090 ,0.366 ,0.289 
1992/1/8,298.770 ,299.650 ,299.660 ,298.770 ,299.660 ,0.890 ,0.298 ,0.295 
1992/1/9,299.660 ,300.610 ,300.620 ,299.660 ,300.620 ,0.960 ,0.320 ,0.317 
1992/1/10,300.620 ,301.820 ,301.830 ,300.620 ,301.830 ,1.210 ,0.403 ,0.399 
1992/1/13,301.830 ,302.830 ,303.060 ,302.000 ,303.060 ,1.230 ,0.408 ,0.331 
1992/1/14,303.060 ,304.770 ,305.740 ,303.060 ,305.740 ,2.680 ,0.884 ,0.564 
1992/1/15,305.740 ,306.620 ,306.630 ,305.740 ,306.630 ,0.890 ,0.291 ,0.288 
1992/1/16,306.630 ,306.850 ,306.850 ,306.630 ,306.850 ,0.220 ,0.072 ,0.072 
1992/1/17,306.850 ,307.370 ,307.380 ,306.850 ,307.380 ,0.530 ,0.173 ,0.169 
1992/1/20,307.380 ,307.380 ,307.390 ,307.380 ,307.390 ,0.010 ,0.003 ,0.000 
1992/1/21,307.390 ,307.870 ,307.870 ,307.390 ,307.870 ,0.480 ,0.156 ,0.156 
1992/1/22,307.870 ,307.950 ,307.950 ,307.870 ,307.950 ,0.080 ,0.026 ,0.026 
1992/1/23,307.950 ,308.530 ,308.530 ,307.950 ,308.530 ,0.580 ,0.188 ,0.188 
1992/1/24,308.530 ,309.050 ,309.050 ,308.530 ,309.050 ,0.520 ,0.169 ,0.169 
1992/1/27,309.050 ,311.600 ,311.610 ,309.050 ,311.610 ,2.560 ,0.828 ,0.825 
1992/1/28,311.610 ,311.670 ,311.840 ,311.610 ,311.840 ,0.230 ,0.074 ,0.019 
1992/1/29,311.840 ,312.410 ,312.580 ,311.840 ,312.420 ,0.580 ,0.186 ,0.183 
1992/1/30,312.420 ,312.730 ,312.730 ,312.420 ,312.730 ,0.310 ,0.099 ,0.099 
1992/1/31,312.730 ,313.240 ,313.240 ,312.730 ,313.240 ,0.510 ,0.163 ,0.163 
1992/2/3,313.240 ,314.180 ,314.180 ,313.240 ,314.180 ,0.940 ,0.300 ,0.300 
1992/2/7,314.180 ,314.720 ,314.720 ,314.180 ,314.720 ,0.540 ,0.172 ,0.172 
1992/2/10,314.720 ,315.550 ,315.560 ,314.720 ,315.560 ,0.840 ,0.267 ,0.264 
1992/2/11,315.560 ,316.120 ,316.430 ,315.560 ,316.430 ,0.870 ,0.276 ,0.177 
1992/2/12,316.430 ,316.430 ,316.440 ,316.430 ,316.440 ,0.010 ,0.003 ,0.000 
1992/2/13,316.440 ,317.240 ,317.570 ,317.040 ,317.040 ,0.600 ,0.190 ,0.253 
1992/2/14,317.040 ,319.450 ,319.680 ,317.040 ,319.680 ,2.640 ,0.833 ,0.760 
1992/2/17,319.680 ,319.770 ,319.770 ,319.680 ,319.770 ,0.090 ,0.028 ,0.028 
1992/2/18,319.770 ,338.980 ,339.160 ,319.770 ,337.110 ,17.340 ,5.423 ,6.007 
1992/2/19,337.110 ,340.500 ,342.410 ,337.110 ,342.410 ,5.300 ,1.572 ,1.006 
1992/2/20,342.410 ,345.220 ,348.010 ,342.410 ,347.990 ,5.580 ,1.630 ,0.821 
1992/2/21,347.990 ,358.910 ,359.930 ,347.990 ,359.590 ,11.600 ,3.333 ,3.138 
1992/2/24,359.590 ,361.110 ,361.620 ,359.590 ,360.500 ,0.910 ,0.253 ,0.423 
1992/2/25,360.500 ,359.660 ,361.290 ,357.070 ,360.370 ,-0.130 ,-0.036 ,-0.233 
1992/2/26,360.370 ,359.850 ,360.760 ,359.270 ,360.100 ,-0.270 ,-0.075 ,-0.144 
1992/2/27,360.100 ,361.000 ,363.030 ,360.100 ,362.450 ,2.350 ,0.653 ,0.250 
1992/2/28,362.450 ,364.150 ,364.670 ,362.450 ,364.660 ,2.210 ,0.610 ,0.469 
1992/3/2,364.660 ,365.150 ,365.390 ,364.660 ,365.390 ,0.730 ,0.200 ,0.134 
1992/3/3,365.390 ,366.790 ,367.250 ,365.390 ,367.000 ,1.610 ,0.441 ,0.383 
1992/3/4,367.000 ,367.560 ,368.320 ,366.950 ,368.320 ,1.320 ,0.360 ,0.153 
1992/3/5,368.320 ,369.310 ,369.880 ,368.110 ,369.760 ,1.440 ,0.391 ,0.269 
1992/3/6,369.760 ,370.790 ,371.760 ,369.760 ,371.760 ,2.000 ,0.541 ,0.279 
1992/3/9,371.760 ,372.260 ,374.060 ,371.880 ,373.530 ,1.770 ,0.476 ,0.134 
1992/3/10,373.530 ,374.480 ,375.230 ,373.530 ,375.230 ,1.700 ,0.455 ,0.254 
1992/3/11,375.230 ,375.870 ,376.250 ,374.980 ,376.140 ,0.910 ,0.243 ,0.171 
1992/3/12,376.140 ,377.550 ,377.570 ,376.140 ,376.920 ,0.780 ,0.207 ,0.375 
